unit_id,threshold,num_windows,first_cycle,last_cycle,last_true_rul,last_decision_rul,true_cross_exists,pred_cross_exists,true_cross_cycle,pred_cross_cycle,true_cross_rul,pred_cross_rul,pred_cross_true_rul,action,action_cycle,action_true_rul,action_pred_rul,preventive_action,protected_danger,failure_event,unnecessary_maintenance,early_lead,maintenance_cost,failure_cost,total_cost,run_dir
2,5.0,287,1,287,0.0,2.4140467643737793,1,1,282,279.0,5.0,4.75802755355835,8.0,preventive,279,8.0,4.75802755355835,1,1,0,1,3.0,1.15,0.0,1.15,seed_123_a_0.04
4,5.0,189,1,189,0.0,1.1130144596099854,1,1,184,181.0,5.0,4.576383590698242,8.0,preventive,181,8.0,4.576383590698242,1,1,0,1,3.0,1.15,0.0,1.15,seed_123_a_0.04
18,5.0,195,1,195,0.0,0.4372037649154663,1,1,190,187.0,5.0,4.754681587219238,8.0,preventive,187,8.0,4.754681587219238,1,1,0,1,3.0,1.15,0.0,1.15,seed_123_a_0.04
22,5.0,202,1,202,0.0,3.5474281311035156,1,1,197,201.0,5.0,4.689637660980225,1.0,failure,197,5.0,,0,0,1,0,0.0,0.0,10.0,10.0,seed_123_a_0.04
24,5.0,147,1,147,0.0,0.9060249328613281,1,1,142,143.0,5.0,4.649167537689209,4.0,failure,142,5.0,,0,0,1,0,0.0,0.0,10.0,10.0,seed_123_a_0.04
32,5.0,191,1,191,0.0,3.9634718894958496,1,1,186,190.0,5.0,4.883148193359375,1.0,failure,186,5.0,,0,0,1,0,0.0,0.0,10.0,10.0,seed_123_a_0.04
38,5.0,194,1,194,0.0,2.39351749420166,1,1,189,192.0,5.0,3.858513832092285,2.0,failure,189,5.0,,0,0,1,0,0.0,0.0,10.0,10.0,seed_123_a_0.04
39,5.0,128,1,128,0.0,2.297802686691284,1,1,123,126.0,5.0,4.099939346313477,2.0,failure,123,5.0,,0,0,1,0,0.0,0.0,10.0,10.0,seed_123_a_0.04
41,5.0,216,1,216,0.0,1.825953483581543,1,1,211,212.0,5.0,4.971463680267334,4.0,failure,211,5.0,,0,0,1,0,0.0,0.0,10.0,10.0,seed_123_a_0.04
51,5.0,213,1,213,0.0,0.30709221959114075,1,1,208,207.0,5.0,4.514955997467041,6.0,preventive,207,6.0,4.514955997467041,1,1,0,1,1.0,1.05,0.0,1.05,seed_123_a_0.04
54,5.0,257,1,257,0.0,2.587541103363037,1,1,252,252.0,5.0,4.790394306182861,5.0,preventive,252,5.0,4.790394306182861,1,1,0,0,0.0,1.0,0.0,1.0,seed_123_a_0.04
66,5.0,202,1,202,0.0,3.3369319438934326,1,1,197,197.0,5.0,4.659862518310547,5.0,preventive,197,5.0,4.659862518310547,1,1,0,0,0.0,1.0,0.0,1.0,seed_123_a_0.04
67,5.0,313,1,313,0.0,3.934272289276123,1,1,308,310.0,5.0,4.960379600524902,3.0,failure,308,5.0,,0,0,1,0,0.0,0.0,10.0,10.0,seed_123_a_0.04
72,5.0,213,1,213,0.0,3.906810760498047,1,1,208,211.0,5.0,4.993323802947998,2.0,failure,208,5.0,,0,0,1,0,0.0,0.0,10.0,10.0,seed_123_a_0.04
73,5.0,213,1,213,0.0,2.596545696258545,1,1,208,208.0,5.0,4.768561840057373,5.0,preventive,208,5.0,4.768561840057373,1,1,0,0,0.0,1.0,0.0,1.0,seed_123_a_0.04
80,5.0,185,1,185,0.0,2.6969103813171387,1,1,180,182.0,5.0,4.947385311126709,3.0,failure,180,5.0,,0,0,1,0,0.0,0.0,10.0,10.0,seed_123_a_0.04
82,5.0,214,1,214,0.0,0.7129453420639038,1,1,209,206.0,5.0,4.8449554443359375,8.0,preventive,206,8.0,4.8449554443359375,1,1,0,1,3.0,1.15,0.0,1.15,seed_123_a_0.04
93,5.0,155,1,155,0.0,1.3562227487564087,1,1,150,150.0,5.0,4.80920934677124,5.0,preventive,150,5.0,4.80920934677124,1,1,0,0,0.0,1.0,0.0,1.0,seed_123_a_0.04
95,5.0,283,1,283,0.0,3.8235692977905273,1,1,278,283.0,5.0,3.8235692977905273,0.0,failure,278,5.0,,0,0,1,0,0.0,0.0,10.0,10.0,seed_123_a_0.04
100,5.0,200,1,200,0.0,3.8753488063812256,1,1,195,199.0,5.0,4.8866424560546875,1.0,failure,195,5.0,,0,0,1,0,0.0,0.0,10.0,10.0,seed_123_a_0.04
2,10.0,287,1,287,0.0,2.4140467643737793,1,1,277,273.0,10.0,9.669836044311523,14.0,preventive,273,14.0,9.669836044311523,1,1,0,1,4.0,1.2,0.0,1.2,seed_123_a_0.04
4,10.0,189,1,189,0.0,1.1130144596099854,1,1,179,178.0,10.0,8.395657539367676,11.0,preventive,178,11.0,8.395657539367676,1,1,0,1,1.0,1.05,0.0,1.05,seed_123_a_0.04
18,10.0,195,1,195,0.0,0.4372037649154663,1,1,185,183.0,10.0,9.457399368286133,12.0,preventive,183,12.0,9.457399368286133,1,1,0,1,2.0,1.1,0.0,1.1,seed_123_a_0.04
22,10.0,202,1,202,0.0,3.5474281311035156,1,1,192,191.0,10.0,9.375834465026855,11.0,preventive,191,11.0,9.375834465026855,1,1,0,1,1.0,1.05,0.0,1.05,seed_123_a_0.04
24,10.0,147,1,147,0.0,0.9060249328613281,1,1,137,140.0,10.0,9.531164169311523,7.0,failure,137,10.0,,0,0,1,0,0.0,0.0,10.0,10.0,seed_123_a_0.04
32,10.0,191,1,191,0.0,3.9634718894958496,1,1,181,179.0,10.0,9.507098197937012,12.0,preventive,179,12.0,9.507098197937012,1,1,0,1,2.0,1.1,0.0,1.1,seed_123_a_0.04
38,10.0,194,1,194,0.0,2.39351749420166,1,1,184,188.0,10.0,9.692469596862793,6.0,failure,184,10.0,,0,0,1,0,0.0,0.0,10.0,10.0,seed_123_a_0.04
39,10.0,128,1,128,0.0,2.297802686691284,1,1,118,120.0,10.0,7.856612205505371,8.0,failure,118,10.0,,0,0,1,0,0.0,0.0,10.0,10.0,seed_123_a_0.04
41,10.0,216,1,216,0.0,1.825953483581543,1,1,206,208.0,10.0,9.87763786315918,8.0,failure,206,10.0,,0,0,1,0,0.0,0.0,10.0,10.0,seed_123_a_0.04
51,10.0,213,1,213,0.0,0.30709221959114075,1,1,203,203.0,10.0,8.697641372680664,10.0,preventive,203,10.0,8.697641372680664,1,1,0,0,0.0,1.0,0.0,1.0,seed_123_a_0.04
54,10.0,257,1,257,0.0,2.587541103363037,1,1,247,246.0,10.0,9.185524940490723,11.0,preventive,246,11.0,9.185524940490723,1,1,0,1,1.0,1.05,0.0,1.05,seed_123_a_0.04
66,10.0,202,1,202,0.0,3.3369319438934326,1,1,192,191.0,10.0,8.60590648651123,11.0,preventive,191,11.0,8.60590648651123,1,1,0,1,1.0,1.05,0.0,1.05,seed_123_a_0.04
67,10.0,313,1,313,0.0,3.934272289276123,1,1,303,300.0,10.0,9.504124641418457,13.0,preventive,300,13.0,9.504124641418457,1,1,0,1,3.0,1.15,0.0,1.15,seed_123_a_0.04
72,10.0,213,1,213,0.0,3.906810760498047,1,1,203,207.0,10.0,8.072311401367188,6.0,failure,203,10.0,,0,0,1,0,0.0,0.0,10.0,10.0,seed_123_a_0.04
73,10.0,213,1,213,0.0,2.596545696258545,1,1,203,202.0,10.0,8.084869384765625,11.0,preventive,202,11.0,8.084869384765625,1,1,0,1,1.0,1.05,0.0,1.05,seed_123_a_0.04
80,10.0,185,1,185,0.0,2.6969103813171387,1,1,175,178.0,10.0,9.809456825256348,7.0,failure,175,10.0,,0,0,1,0,0.0,0.0,10.0,10.0,seed_123_a_0.04
