dataset_name,group,seed,run_dir,linex_a,rmse,mae,nasa,val_rmse,val_mae,val_nasa,seq_len,batch_size,mc_samples_val,mc_samples_test,pred_std_mean,pred_std_std,mc_samples,val_pred_std_mean,val_pred_std_std,val_mc_samples
FD001,G1,7,seed_7,,16.27865105210588,11.44020643234253,800.7467055451503,10.048171055651478,6.481594961659385,9340.591182035085,50,128,,,,,,,,
FD001,G1,21,seed_21,,14.863513172073645,10.878820176124572,550.8221114696483,11.18903229181296,6.828099160759478,12712.064863274569,50,128,,,,,,,,
FD001,G1,42,seed_42,,17.19880285156831,12.808063793182374,381.0610620474002,12.719654624325393,8.71780703251607,9348.844307936142,50,128,,,,,,,,
FD001,G1,87,seed_87,,16.226312947096933,11.59270513534546,441.78558396053654,12.62116311543521,8.285383231354462,10612.840534515002,50,128,,,,,,,,
FD001,G1,123,seed_123,,15.105291757198907,11.384166765213013,371.39799495933613,12.192564568171735,8.584710180688422,9073.129057640946,50,128,,,,,,,,
FD001,G2,7,seed_7,,14.569152756664046,10.608802642822265,492.97550043328704,12.820298852267562,9.634171311480754,16465.28951407403,50,128,10.0,20.0,13.395511627197266,7.854844093322754,20.0,14.819001197814941,7.697304725646973,10.0
FD001,G2,21,seed_21,,15.929706195854006,11.875774321556092,392.85450142347685,13.068240301807105,9.823436378309072,11728.72556625682,50,128,10.0,20.0,13.332355499267578,7.414342403411865,20.0,15.626338005065918,8.003642082214355,10.0
FD001,G2,42,seed_42,,15.07206722743031,10.730458154678345,465.1800972316101,12.610531057442582,9.198575630923298,10829.31190596051,50,128,10.0,20.0,12.65791130065918,7.31956148147583,20.0,13.990716934204102,7.944333076477051,10.0
FD001,G2,87,seed_87,,14.57002400617345,10.59731873512268,349.36916765989116,13.844397608947066,10.099986690161,13913.745250958347,50,128,10.0,20.0,12.966653823852539,7.98028564453125,20.0,14.019450187683105,7.7592692375183105,10.0
FD001,G2,123,seed_123,,17.11501540623769,12.257898583412171,934.1547324428032,13.863842261838471,10.549852009810293,10807.58717247565,50,128,10.0,20.0,13.701249122619629,7.787109375,20.0,15.215622901916504,8.23897647857666,10.0
