round,maintained_units,avg_risk,avg_survival_prob
1,"[246, 262, 265, 277]",0.0,1.0
2,"[264, 269, 274, 278]",0.3,0.7
3,"[246, 247, 255, 273]",0.1,0.9
4,"[241, 260, 263, 271]",0.2,0.8
5,"[242, 243, 269, 278]",0.25,0.75
6,"[255, 259, 262, 264]",0.25,0.75
7,"[246, 247, 255, 274]",0.1,0.9
8,"[242, 263, 265, 269]",0.35,0.65
9,"[246, 255, 271, 277]",0.1,0.9
10,"[243, 255, 264, 273]",0.15,0.85
11,"[242, 247, 262, 269]",0.3,0.7
12,"[241, 259, 263, 280]",0.3,0.7
13,"[246, 255, 265, 277]",0.1,0.9
14,"[264, 269, 271, 278]",0.25,0.75
15,"[243, 246, 247, 255]",0.1,0.9
16,"[241, 260, 262, 263]",0.2,0.8
17,"[242, 251, 269, 273]",0.35,0.65
18,"[255, 259, 264, 280]",0.2,0.8
19,"[246, 247, 255, 271]",0.1,0.9
20,"[242, 263, 265, 269]",0.4,0.6
21,"[246, 262, 265, 277]",0.1,0.9
22,"[255, 264, 274, 277]",0.15,0.85
23,"[242, 247, 251, 269]",0.25,0.75
24,"[241, 259, 263, 273]",0.35,0.65
25,"[243, 246, 255, 277]",0.1,0.9
26,"[262, 264, 269, 278]",0.25,0.75
27,"[246, 247, 255, 274]",0.1,0.9
28,"[241, 260, 263, 265]",0.2,0.8
29,"[242, 251, 269, 271]",0.3,0.7
30,"[255, 259, 264, 280]",0.25,0.75
31,"[246, 247, 262, 273]",0.15,0.85
32,"[241, 242, 263, 269]",0.35,0.65
33,"[246, 255, 265, 277]",0.1,0.9
34,"[255, 264, 265, 271]",0.1,0.9
35,"[242, 243, 247, 269]",0.3,0.7
36,"[241, 259, 262, 263]",0.3,0.7
37,"[246, 255, 274, 277]",0.15,0.85
38,"[264, 269, 273, 278]",0.25,0.75
39,"[246, 247, 255, 271]",0.1,0.9
40,"[241, 243, 260, 263]",0.2,0.8
