round,maintained_units,avg_risk,avg_survival_prob
1,"[254, 259, 261, 272]",0.0,1.0
2,"[243, 249, 257, 271]",0.35,0.65
3,"[246, 248, 252, 278]",0.3,0.7
4,"[242, 261, 266, 275]",0.2,0.8
5,"[249, 257, 271, 276]",0.25,0.75
6,"[248, 262, 274, 280]",0.25,0.75
7,"[254, 261, 275, 278]",0.1,0.9
8,"[249, 252, 257, 271]",0.2,0.8
9,"[242, 243, 248, 266]",0.35,0.65
10,"[245, 259, 261, 272]",0.15,0.85
11,"[249, 257, 275, 278]",0.25,0.75
12,"[246, 248, 274, 280]",0.2,0.8
13,"[252, 261, 262, 275]",0.15,0.85
14,"[242, 245, 257, 266]",0.35,0.65
15,"[248, 274, 278, 280]",0.2,0.8
16,"[243, 254, 261, 272]",0.15,0.85
17,"[249, 257, 271, 275]",0.2,0.8
18,"[248, 252, 274, 280]",0.25,0.75
19,"[242, 259, 261, 266]",0.25,0.75
20,"[249, 257, 262, 271]",0.25,0.75
21,"[246, 248, 275, 280]",0.25,0.75
22,"[245, 254, 261, 272]",0.1,0.9
23,"[249, 252, 257, 278]",0.3,0.7
24,"[242, 248, 266, 280]",0.25,0.75
25,"[254, 261, 272, 275]",0.1,0.9
26,"[245, 249, 257, 271]",0.2,0.8
27,"[248, 262, 278, 280]",0.25,0.75
28,"[252, 259, 261, 275]",0.15,0.85
29,"[242, 249, 257, 266]",0.3,0.7
30,"[243, 246, 248, 280]",0.3,0.7
31,"[254, 261, 275, 278]",0.1,0.9
32,"[249, 257, 271, 275]",0.15,0.85
33,"[248, 252, 274, 280]",0.25,0.75
34,"[242, 245, 261, 266]",0.25,0.75
35,"[249, 257, 271, 278]",0.2,0.8
36,"[248, 274, 275, 280]",0.2,0.8
37,"[243, 259, 261, 272]",0.2,0.8
38,"[249, 252, 257, 271]",0.25,0.75
39,"[242, 246, 248, 266]",0.35,0.65
40,"[254, 261, 272, 275]",0.15,0.85
