group,scenario,a_tag,linex_a,seed,train_run_id,rmse,mae,nasa,bias,over_rate,danger_over_5,danger_over_10,pred_std_mean,pred_std_p90,maintenance_run_id,maint_count,early_count,fail_count,total_cost,maintenance_utilization
G3,A_sigma_1,a_0p02,0.02,0,20260327_223742_486429,5.0708112716674805,2.496710777282715,2208.821533203125,-0.7325649857521057,0.43110607776519444,0.032653831634579085,0.0022650056625141564,0.0,0.0,20260328_080529_665044,160,48,49,1236.0,1.0
G3,A_sigma_1,a_0p02,0.02,1,20260327_223850_867459,4.786440849304199,2.6581273078918457,1990.531982421875,-1.318621277809143,0.32087580218950545,0.023027557568893922,0.004341260853152133,0.0,0.0,20260328_080529_808430,160,26,37,952.0,1.0
G3,A_sigma_1,a_0p02,0.02,2,20260327_223958_112977,4.736206531524658,2.7204651832580566,1959.311767578125,-0.7497082352638245,0.4114760286900717,0.041525103812759534,0.005851264628161571,0.0,0.0,20260328_080529_942600,160,23,31,826.0,1.0
G3,A_sigma_1,a_0p03,0.03,0,20260327_224104_937645,4.118396282196045,2.5416312217712402,1578.40576171875,-1.3902913331985474,0.31200453001132505,0.01226878067195168,0.00037750094375235937,0.0,0.0,20260328_080530_078637,160,26,37,952.0,1.0
G3,A_sigma_1,a_0p03,0.03,1,20260327_224212_183059,4.022968292236328,2.4980392456054688,1551.61181640625,-0.9345389604568481,0.4031710079275198,0.021517553793884484,0.0,0.0,0.0,20260328_080530_214428,160,22,30,804.0,1.0
G3,A_sigma_1,a_0p03,0.03,2,20260327_224318_731087,4.479736328125,2.721499443054199,1760.428466796875,-1.7215555906295776,0.2842582106455266,0.013967534918837296,0.00037750094375235937,0.0,0.0,20260328_080530_348982,160,39,28,798.0,1.0
G3,A_sigma_1,a_0p04,0.04,0,20260327_224427_814435,3.964048385620117,2.7663891315460205,1555.284423828125,-1.725884199142456,0.3031332578331446,0.007927519818799546,0.00018875047187617969,0.0,0.0,20260328_080530_484013,160,22,30,804.0,1.0
G3,A_sigma_1,a_0p04,0.04,1,20260327_224535_984636,4.284824371337891,2.7246248722076416,1698.78466796875,-1.4270305633544922,0.32597206493016234,0.01868629671574179,0.005473763684409211,0.0,0.0,20260328_080530_619368,160,42,28,804.0,1.0
G3,A_sigma_1,a_0p04,0.04,2,20260327_224644_719300,3.7743728160858154,2.570723533630371,1540.309326171875,-0.45728594064712524,0.4580973952434881,0.03680634201585504,0.0009437523593808985,0.0,0.0,20260328_080530_753745,160,32,36,944.0,1.0
G3,A_sigma_1,a_0p05,0.05,0,20260327_224752_377744,3.9589977264404297,2.6960742473602295,1537.63720703125,-1.7055377960205078,0.29614949037372595,0.007738769346923367,0.00018875047187617969,0.0,0.0,20260328_080530_888336,160,33,27,766.0,1.0
G3,A_sigma_1,a_0p05,0.05,1,20260327_224901_096308,3.4205973148345947,2.5535929203033447,1391.0167236328125,-1.0743072032928467,0.3707059267648169,0.019063797659494147,0.00018875047187617969,0.0,0.0,20260328_080531_022084,160,32,36,944.0,1.0
G3,A_sigma_1,a_0p05,0.05,2,20260327_225008_361545,3.880279541015625,2.5520167350769043,1452.501708984375,-1.6450222730636597,0.289920724801812,0.005096262740656852,0.00037750094375235937,0.0,0.0,20260328_080531_162772,160,10,22,620.0,1.0
G3,A_sigma_1,a_0p07,0.07,0,20260327_223747_540332,4.061111927032471,3.0358481407165527,1659.42236328125,-1.995383381843567,0.27633069082672707,0.014911287278218196,0.0009437523593808985,0.0,0.0,20260328_080531_300088,160,10,22,620.0,1.0
G3,A_sigma_1,a_0p07,0.07,1,20260327_223856_992177,3.054135799407959,2.095595121383667,1200.8232421875,-0.14359381794929504,0.4762174405436014,0.022083805209513023,0.00018875047187617969,0.0,0.0,20260328_080531_439587,160,13,42,1026.0,1.0
G3,A_sigma_1,a_0p07,0.07,2,20260327_224004_475129,4.057963848114014,2.8280696868896484,1596.812255859375,-1.7136303186416626,0.3204983012457531,0.010570026425066062,0.0005662514156285391,0.0,0.0,20260328_080531_578442,160,53,42,1106.0,1.0
G3,A_sigma_1,a_0p09,0.09,0,20260327_224111_579415,4.199548721313477,3.231584310531616,1714.951416015625,-2.6008658409118652,0.21083427708569272,0.003775009437523594,0.00037750094375235937,0.0,0.0,20260328_080531_717660,160,33,31,846.0,1.0
G3,A_sigma_1,a_0p09,0.09,1,20260327_224218_563349,3.371340751647949,2.4363715648651123,1289.0009765625,-1.5765941143035889,0.2718006795016987,0.007361268403171008,0.0,0.0,0.0,20260328_080531_856484,160,34,41,1048.0,1.0
G3,A_sigma_1,a_0p09,0.09,2,20260327_224325_014732,4.319802761077881,3.2620432376861572,1929.85302734375,-0.8700897097587585,0.45337863344658363,0.051340128350320875,0.0016987542468856172,0.0,0.0,20260328_080531_998234,160,32,42,1064.0,1.0
G3,A_sigma_1,a_0p1,0.1,0,20260327_224434_352341,4.411896228790283,3.326192617416382,1800.3699951171875,-2.5936691761016846,0.24311060777651944,0.003586258965647414,0.0,0.0,0.0,20260328_080532_141801,160,29,42,1058.0,1.0
G3,A_sigma_1,a_0p1,0.1,1,20260327_224542_424683,3.762817621231079,2.8847169876098633,1508.436279296875,-2.150986909866333,0.22291430728576822,0.007172517931294828,0.0,0.0,0.0,20260328_080532_283532,160,36,16,552.0,1.0
G3,A_sigma_1,a_0p1,0.1,2,20260327_224650_978055,4.2161970138549805,3.2353408336639404,1902.197509765625,-0.8233734965324402,0.43827859569648925,0.059456398640996604,0.004907512268780672,0.0,0.0,20260328_080532_419862,160,33,33,886.0,1.0
G3,A_sigma_1,a_0p2,0.2,0,20260327_224758_757067,5.353766441345215,4.150003910064697,2324.62353515625,-3.416954278945923,0.2146092865232163,0.009060022650056626,0.0,0.0,0.0,20260328_080532_556175,160,29,18,578.0,1.0
G3,A_sigma_1,a_0p2,0.2,1,20260327_224908_566837,5.8460564613342285,4.597975730895996,2703.31689453125,-3.21109676361084,0.2912419781049453,0.02642506606266516,0.00018875047187617969,0.0,0.0,20260328_080532_690979,160,32,32,864.0,1.0
G3,A_sigma_1,a_0p2,0.2,2,20260327_225015_581219,5.235293388366699,3.976193904876709,2241.00048828125,-3.131526231765747,0.2610419026047565,0.00622876557191393,0.0,0.0,0.0,20260328_080532_824225,160,31,41,1042.0,1.0
G3,A_sigma_1,a_0p3,0.3,0,20260327_225122_467104,6.7769575119018555,5.340254306793213,3182.831787109375,-4.816985607147217,0.1783691959229898,0.00037750094375235937,0.0,0.0,0.0,20260328_080532_957133,160,33,33,886.0,1.0
G3,A_sigma_1,a_0p3,0.3,1,20260327_225231_108093,7.019611358642578,5.718929767608643,3405.9033203125,-5.317248821258545,0.11079652699131748,0.00604001510003775,0.0,0.0,0.0,20260328_080533_095192,160,34,41,1048.0,1.0
G3,A_sigma_1,a_0p3,0.3,2,20260327_225337_656537,6.655306816101074,5.3072028160095215,3188.9404296875,-4.335515022277832,0.21140052850132127,0.01736504341260853,0.0026425066062665155,0.0,0.0,20260328_080533_235858,160,28,34,896.0,1.0
G3,A_sigma_1,a_0p4,0.4,0,20260327_225445_114083,7.213951110839844,5.61641788482666,3455.9541015625,-5.078317642211914,0.17421668554171385,0.006795016987542469,0.0007550018875047187,0.0,0.0,20260328_080533_369436,160,37,40,1034.0,1.0
