scenario,group,a_tag,linex_a,rmse,mae,nasa,bias,over_rate,danger_over_5,danger_over_10,pred_std_mean,pred_std_p90,maint_count,early_count,fail_count,total_cost,maintenance_utilization,n_seeds,rmse_std,mae_std,nasa_std,bias_std,over_rate_std,danger_over_5_std,danger_over_10_std,pred_std_mean_std,pred_std_p90_std,maint_count_std,early_count_std,fail_count_std,total_cost_std,maintenance_utilization_std
A_sigma_1,G3,a_0p02,0.02,4.864486217498779,2.625101089477539,2052.888427734375,-0.9336314996083578,0.38781930288159056,0.03240216433874418,0.004152510381275953,0.0,0.0,160.0,32.333333333333336,39.0,1004.6666666666666,1.0,3,0.18043944317687882,0.11547535180897538,135.94125749590782,0.3335210933963138,0.05879973571672179,0.009251340799139945,0.0018005647440863452,0.0,0.0,0.0,13.650396819628847,9.16515138991168,210.0126980287938,0.0
A_sigma_1,G3,a_0p03,0.03,4.207033634185791,2.5870566368103027,1630.148681640625,-1.3487952947616577,0.33314458286145715,0.01591795646155782,0.00025166729583490623,0.0,0.0,160.0,29.0,31.666666666666668,851.3333333333334,1.0,3,0.2409391931135621,0.11845343477316188,113.61820140990308,0.39514584009777526,0.06221125071268771,0.004923216348179095,0.00021795027149476247,0.0,0.0,0.0,8.888194417315589,4.725815626252609,87.23149278404752,0.0
A_sigma_1,G3,a_0p04,0.04,4.007748524347941,2.6872458457946777,1598.1261393229167,-1.203400234381358,0.362400906002265,0.021140052850132124,0.0022020888385554296,0.0,0.0,160.0,32.0,31.333333333333332,850.6666666666666,1.0,3,0.2580164222650158,0.10304926134431015,87.4938165204353,0.6632068141928434,0.08365862966380298,0.014594940296129337,0.0028583910133636713,0.0,0.0,0.0,10.0,4.163331998932266,80.82903768654762,0.0
A_sigma_1,G3,a_0p05,0.05,3.7532915274302163,2.6005613009134927,1460.3852132161458,-1.4749557574590046,0.31892538064678494,0.010632943249024788,0.00025166729583490623,0.0,0.0,160.0,25.0,28.333333333333332,776.6666666666666,1.0,3,0.29079755415083713,0.08272039225106403,73.62746611983285,0.3482886447994822,0.04495128582530971,0.007419918453658269,0.00010897513574738124,0.0,0.0,0.0,13.0,7.094598884597588,162.26316073999462,0.0
A_sigma_1,G3,a_0p07,0.07,3.7244038581848145,2.6531709829966226,1485.6859537760417,-1.2842025061448414,0.35768214420536054,0.015855039637599093,0.0005662514156285391,0.0,0.0,160.0,25.333333333333332,35.333333333333336,917.3333333333334,1.0,3,0.5804713003780547,0.4939241870558145,248.6766569825708,0.9977912265831406,0.1050031276249791,0.005814617516326675,0.0003775009437523594,0.0,0.0,0.0,24.006943440041116,11.547005383792515,260.58651794237807,0.0
A_sigma_1,G3,a_0p09,0.09,3.963564078013102,2.9766663710276284,1644.601806640625,-1.6825165549914043,0.312004530011325,0.020825468730338494,0.0006920850635459922,0.0,0.0,160.0,33.0,38.0,986.0,1.0,3,0.5163928831211461,0.4681568057131016,326.16658075597627,0.870236276319987,0.12617132557550467,0.026487235645395485,0.0008919999294550035,0.0,0.0,0.0,1.0,6.082762530298219,121.50720143267229,0.0
A_sigma_1,G3,a_0p1,0.1,4.130303621292114,3.148750146230062,1737.0012613932292,-1.8560098608334858,0.30143450358625895,0.023405058512646282,0.0016358374229268908,0.0,0.0,160.0,32.666666666666664,30.333333333333332,832.0,1.0,3,0.3329549757282774,0.23312795476083362,204.38609044012622,0.9212737339507071,0.1189399083465389,0.031272826177524686,0.002833353529431912,0.0,0.0,0.0,3.5118845842842465,13.203534880225574,257.28583326720496,0.0
A_sigma_1,G3,a_0p2,0.2,5.478372097015381,4.241391181945801,2422.9803059895835,-3.25319242477417,0.25563105574430606,0.01390461809487857,6.291682395872656e-05,0.0,0.0,160.0,30.666666666666668,30.333333333333332,828.0,1.0,3,0.323887032611571,0.32080661602961497,246.35270578694568,0.14729672788577344,0.03860181734809299,0.010935045365528747,0.00010897513574738124,0.0,0.0,0.0,1.5275252316519465,11.590225767142474,234.08545448190497,0.0
A_sigma_1,G3,a_0p3,0.3,6.817291895548503,5.455462296803792,3259.2251790364585,-4.823249816894531,0.16685541713854288,0.007927519818799546,0.0008808355354221718,0.0,0.0,160.0,31.666666666666668,36.0,943.3333333333334,1.0,3,0.18547128297181165,0.22876719911295096,127.06371128171354,0.49089687639879565,0.051280762537028415,0.008649633248312269,0.0015256519004633372,0.0,0.0,0.0,3.214550253664319,4.358898943540674,90.78178965703053,0.0
A_sigma_1,G3,a_0p4,0.4,7.789821942647298,6.058814684549968,3896.192626953125,-5.328358173370361,0.18484962879073863,0.012520447967786586,0.0012583364791745313,0.0,0.0,160.0,25.0,35.333333333333336,916.6666666666666,1.0,3,0.5028985479341759,0.40603244528492133,384.0966457508095,0.3659291367079783,0.02932403259290742,0.006910261068083828,0.0013913013959667786,0.0,0.0,0.0,14.422205101855956,4.163331998932266,109.20317455703076,0.0
A_sigma_1,G4,a_0p02,0.02,4.973268508911133,2.7720388571421304,2161.244140625,-0.8558713793754578,0.4312948282370706,0.03844217943878193,0.0044670945010695864,5.669667402903239,10.044282976786295,160.0,29.666666666666668,24.666666666666668,712.6666666666666,1.0,3,0.15919728890704396,0.12459336013584683,131.24690714143864,0.3335698119241939,0.06036386461924456,0.011899266484017519,0.00146611050682409,0.1264535321753334,0.2826497803773589,0.0,7.637626158259733,6.027713773341708,105.98742063723095,0.0
A_sigma_1,G4,a_0p03,0.03,4.29725964864095,2.6517144044240317,1685.852783203125,-1.28217218319575,0.3626525732980999,0.019378381779287784,0.00018875047187617966,5.5684841473897295,9.887029933929442,160.0,31.0,22.666666666666668,675.3333333333334,1.0,3,0.22184457858623247,0.0967410505019041,101.54947715551722,0.391861407191814,0.062356921041689835,0.004387518150650848,0.0,0.06385279903468671,0.1468897185773093,0.0,6.244997998398398,4.932882862316247,89.49487881065224,0.0
A_sigma_1,G4,a_0p04,0.04,4.132368803024292,2.770124594370524,1669.69482421875,-1.131994863351186,0.3885113879451365,0.025166729583490626,0.0020762551906379763,5.620105743408203,9.899249744415284,160.0,33.333333333333336,23.666666666666668,700.0,1.0,3,0.2504000505039594,0.054152880274806255,86.01140089377799,0.6818414967559503,0.09585705923844337,0.01766237856481868,0.003118669619074803,0.060848513608720754,0.14729099282051544,0.0,4.618802153517006,4.041451884327381,76.62897624267207,0.0
A_sigma_1,G4,a_0p05,0.05,3.8741435209910073,2.669363578160604,1520.71630859375,-1.4013619025548298,0.3448471121177803,0.01390461809487857,0.00025166729583490623,5.5400082270304365,9.778538894653321,160.0,21.0,30.0,802.0,1.0,3,0.25485821218979815,0.07161998361198432,63.135729271186634,0.3482785893815812,0.0376347804646799,0.009974053109387815,0.00028832110827707564,0.10094148015405421,0.2215890197125043,0.0,9.539392014169456,8.18535277187245,145.3409783921933,0.0
A_sigma_1,G4,a_0p07,0.07,3.8529375394185386,2.737600882848104,1558.1700846354167,-1.178359034160773,0.3948030703410092,0.020259217314709952,0.0006291682395872657,5.613726456960042,9.843761348724366,160.0,22.0,30.0,804.0,1.0,3,0.545516597465917,0.429536096557793,217.62424055310612,0.975584338205385,0.11829721561876252,0.007787720342847126,0.0007628259502316686,0.035827589515842535,0.1165831131429258,0.0,12.12435565298214,7.54983443527075,126.7596150199266,0.0
A_sigma_1,G4,a_0p09,0.09,4.083573818206787,3.031528870264689,1701.9662679036458,-1.6104679703712463,0.3318233295583239,0.025732980999119165,0.0011325028312570782,5.611261526743571,9.890225823720296,160.0,31.333333333333332,36.0,942.6666666666666,1.0,3,0.5308049718689555,0.4950942094833205,359.4299539361191,0.8538603881265161,0.1228266775111651,0.032015515045137805,0.0016346270362107185,0.0911509112376457,0.20905956725390124,0.0,1.154700538379251,6.244997998398398,122.65942007580722,0.0
A_sigma_1,G4,a_0p1,0.1,4.240954240163167,3.2068641980489097,1795.3216959635417,-1.778243621190389,0.3230778910280609,0.027054234302252424,0.0018245878948030703,5.570309638977051,9.833036581675211,160.0,31.666666666666668,22.0,663.3333333333334,1.0,3,0.36412337444463005,0.27104209590929496,242.47458812529544,0.9051451757939589,0.119765012817956,0.034656320575273215,0.003160278936674056,0.09379086346724577,0.0741981886356867,0.0,11.015141094572204,7.54983443527075,129.01679477236027,0.0
