unit_id,split,h0,lambda,gamma,phi,baseline_b,noise_group,sigma_scale,failure_time,scenario_id,seed
1,train,1.0029899449194688,0.002577344253374188,1.108066840378904,0.1773303054985152,0.13575770001114382,single,0.5,218,A_sigma_5,42
2,train,0.9711101320186093,0.0028826540441413023,1.2160713153917657,1.1897873617850827,0.24537817895148686,single,0.5,120,A_sigma_5,42
3,train,1.015497962225812,0.004158827256419791,1.0870666730232348,3.730167206232461,0.1622308213739612,single,0.5,158,A_sigma_5,42
4,train,1.0019989659070272,0.0019108565931280296,1.1846628980041676,2.789593563111858,-0.1868647479290378,single,0.5,198,A_sigma_5,42
5,train,1.0194257092164147,0.0035819414560719614,1.0731740087408306,2.268112753895032,-0.09749677981750009,single,0.5,194,A_sigma_5,42
6,train,1.000599346640916,0.0022347785268434887,1.1561089871260604,1.1666716129586463,0.27820575259066177,single,0.5,197,A_sigma_5,42
7,train,0.9747847158304304,0.0031653122120702073,1.1413325788601156,4.382646961440214,0.22718801276282202,single,0.5,152,A_sigma_5,42
8,train,0.9996591709500573,0.0017157312394581218,1.2574418322739507,4.87868728661166,0.003878002699553325,single,0.5,159,A_sigma_5,42
9,train,1.0029698052924028,0.0021940391786612716,1.1959384179652344,1.6467068671611607,-0.011715565507000177,single,0.5,168,A_sigma_5,42
10,train,1.0246148689693149,0.002467280384332501,1.0698366955179812,3.669644422301529,0.4662791880224164,single,0.5,281,A_sigma_5,42
11,train,0.9712632380262283,0.002223490305282709,1.0713581196967128,5.955428494737966,0.5512769297662156,single,0.5,292,A_sigma_5,42
12,train,1.0102404068867508,0.0020809083640927536,1.09075126661044,5.882582360069245,0.24024498267504024,single,0.5,291,A_sigma_5,42
13,train,1.0119875851504287,0.002662821241185575,1.2276927354881475,1.6228489288877548,-0.2568221170808172,single,0.5,127,A_sigma_5,42
14,train,1.0155331151454334,0.0017405782235253246,1.2395441061863701,5.012113509669594,0.19103136648143565,single,0.5,171,A_sigma_5,42
15,train,1.0161410936970967,0.0036760116786832536,1.1024700136116685,2.628392622045403,0.3272420157486609,single,0.5,164,A_sigma_5,42
16,train,1.0084433497340672,0.0022283079776147414,1.0893185340793308,4.157250586527866,-0.3435987326542408,single,0.5,275,A_sigma_5,42
17,train,0.9758893829480596,0.001939444296043236,1.1771619189583404,4.942451368496123,-0.025825649421578653,single,0.5,198,A_sigma_5,42
18,train,1.0149879843462613,0.0032298135842057756,1.1422857174415977,1.3399349548638317,0.3089126385614074,single,0.5,154,A_sigma_5,42
19,train,0.9815958658167867,0.003645694810285806,1.0801876014527105,3.997923714627857,-0.30322739120924835,single,0.5,178,A_sigma_5,42
20,train,1.011050633970505,0.002797548084616549,1.134223832606979,1.0313964208156003,0.10551768136093641,single,0.5,181,A_sigma_5,42
21,train,0.9998097537995406,0.0016031686754469998,1.3193413803550598,0.39879238525019506,-0.02699896552640162,single,0.5,132,A_sigma_5,42
22,train,1.0129627185868118,0.0020267775927039194,1.2286303886294687,5.5791025745113245,-0.053755170728814854,single,0.5,158,A_sigma_5,42
23,train,1.00176458743563,0.002417490338732646,1.2022040459987315,0.14804323741601585,-0.05177177394830644,single,0.5,151,A_sigma_5,42
24,train,0.9880978780718506,0.0023399186255614493,1.1057584731095094,2.3586135653922184,-0.1659440573965115,single,0.5,237,A_sigma_5,42
25,train,1.0145860351692184,0.0021648334646831684,1.100786020952363,1.8970077312577152,0.26670710037131024,single,0.5,267,A_sigma_5,42
26,train,1.0056093241139357,0.0036725469697367823,1.1079074876806225,1.651143478205668,0.35847787430969336,single,0.5,159,A_sigma_5,42
27,train,0.9906674483159753,0.002413372048453276,1.1736934272644082,0.7662486124134238,-0.4035490262909005,single,0.5,169,A_sigma_5,42
28,train,0.9967621587448858,0.003200757944085252,1.1317969008549895,1.3891955706717287,-0.4398244428274819,single,0.5,160,A_sigma_5,42
29,train,1.0134118398645222,0.003582733261227383,1.101390264767558,4.597374021743693,0.22033749294279523,single,0.5,169,A_sigma_5,42
30,train,0.985828559135387,0.0029659236745952578,1.1793613960791465,1.100327913730367,-0.5987926236955654,single,0.5,138,A_sigma_5,42
31,train,0.9813111898443774,0.002446962526802201,1.2257894820339348,4.328333503309616,-0.1809736476761001,single,0.5,133,A_sigma_5,42
32,train,1.0241702037641494,0.0016795488344263432,1.1508004454674172,2.4465683134296037,-0.44434329632254227,single,0.5,264,A_sigma_5,42
33,train,1.002404685426618,0.002896615865444649,1.1160858357348906,6.2771503432266975,-0.21490126220390438,single,0.5,189,A_sigma_5,42
34,train,0.973040034167485,0.003318189125003566,1.1159432088972918,4.427424587833494,-0.21534788023823045,single,0.5,163,A_sigma_5,42
35,train,0.9867173113516017,0.004480345134815166,1.1109057217897769,5.505680485528062,0.21872451210474778,single,0.5,129,A_sigma_5,42
36,train,0.9984718408360382,0.0016113011044501923,1.2108733543079953,5.97660647901895,0.0485083245489818,single,0.5,203,A_sigma_5,42
37,train,1.008875552303842,0.0018181095829750205,1.1152331566323752,5.405917709624401,0.2589093056959558,single,0.5,289,A_sigma_5,42
38,train,0.9701283771712238,0.0015381689035736776,1.1418642122773217,2.512736945978124,-0.3717416605700632,single,0.5,284,A_sigma_5,42
39,train,1.0148332962824975,0.0021830789478781447,1.2251127469219125,2.7252359000199995,0.7032735056078704,single,0.5,151,A_sigma_5,42
40,train,1.012354151032172,0.0017561791391113354,1.2445316039542809,2.5636694815729086,0.11931680727845562,single,0.5,166,A_sigma_5,42
41,train,0.9995495055920746,0.0036938603419629135,1.1426742860690409,0.339221573711026,0.5737515697292146,single,0.5,135,A_sigma_5,42
